"filename", "language", "Markdown", "JSON", "Dart", "HTML", "YAML", "XML", "Groovy", "Properties", "C++", "Swift", "comment", "blank", "total"
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\assets\images\teacher.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\assets\images\twitter.svg", "XML", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 1, 1, 48
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 2, 14
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 1, 1, 38
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 1, 27
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\config\palette.dart", "Dart", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 2, 8, 44
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\config\styles.dart", "Dart", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\controllers\classe_controller.dart", "Dart", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 1, 4, 29
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\controllers\course_controller.dart", "Dart", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 1, 4, 29
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\controllers\department_controller.dart", "Dart", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 1, 4, 29
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\controllers\feature_controller.dart", "Dart", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 2, 4, 32
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\controllers\post_controller.dart", "Dart", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 1, 4, 29
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\controllers\student_controller.dart", "Dart", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 14, 7, 45
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\controllers\subject_controller.dart", "Dart", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 1, 4, 29
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\controllers\teacher_controller.dart", "Dart", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 1, 4, 29
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\controllers\user_controller.dart", "Dart", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 29, 10, 113
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\data\data.dart", "Dart", 0, 0, 207, 0, 0, 0, 0, 0, 0, 0, 54, 7, 268
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\main.dart", "Dart", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 2, 5, 35
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\models\attachment.dart", "Dart", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 7, 32
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\models\classe.dart", "Dart", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 8, 46
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\models\course.dart", "Dart", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 7, 44
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\models\department.dart", "Dart", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 12, 7, 44
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\models\feature.dart", "Dart", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 23, 7, 67
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\models\feature_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 2, 12
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\models\file_model.dart", "Dart", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 9, 8, 35
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\models\post.dart", "Dart", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 2, 7, 54
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\models\post_model.dart", "Dart", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\models\student.dart", "Dart", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 21, 9, 92
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\models\subject.dart", "Dart", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 7, 48
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\models\td.dart", "Dart", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 7, 44
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\models\teacher.dart", "Dart", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 8, 8, 84
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\models\user.dart", "Dart", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 1, 7, 81
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\models\user_model.dart", "Dart", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\services\helper_function.dart", "Dart", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\services\http_attachment_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 10, 67
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\services\http_classe_service.dart", "Dart", 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 1, 9, 91
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\services\http_course_service.dart", "Dart", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 1, 9, 83
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\services\http_department_service.dart", "Dart", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 1, 10, 84
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\services\http_feature_service.dart", "Dart", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 3, 9, 85
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\services\http_post_service.dart", "Dart", 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 3, 9, 89
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\services\http_student_service.dart", "Dart", 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 1, 9, 104
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\services\http_subject_service.dart", "Dart", 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 1, 9, 91
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\services\http_td_service.dart", "Dart", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 1, 9, 83
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\services\http_teacher_service.dart", "Dart", 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 3, 10, 121
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\services\http_user_service.dart", "Dart", 0, 0, 165, 0, 0, 0, 0, 0, 0, 0, 6, 13, 184
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\theme\color.dart", "Dart", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\utils\utils.dart", "Dart", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\admin_views\admin_dashboard.dart", "Dart", 0, 0, 137, 0, 0, 0, 0, 0, 0, 0, 57, 6, 200
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\admin_views\admin_grid.dart", "Dart", 0, 0, 258, 0, 0, 0, 0, 0, 0, 0, 0, 3, 261
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\admin_views\classes\add_classe_screen.dart", "Dart", 0, 0, 293, 0, 0, 0, 0, 0, 0, 0, 0, 16, 309
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\admin_views\classes\classe_dashboard.dart", "Dart", 0, 0, 135, 0, 0, 0, 0, 0, 0, 0, 0, 4, 139
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\admin_views\classes\update_classe_screen.dart", "Dart", 0, 0, 230, 0, 0, 0, 0, 0, 0, 0, 1, 10, 241
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\admin_views\department\add_department_screen.dart", "Dart", 0, 0, 158, 0, 0, 0, 0, 0, 0, 0, 0, 12, 170
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\admin_views\department\department_dashboard.dart", "Dart", 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 0, 4, 133
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\admin_views\department\update_department_screen.dart", "Dart", 0, 0, 171, 0, 0, 0, 0, 0, 0, 0, 1, 10, 182
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\admin_views\posts\create_post_screen.dart", "Dart", 0, 0, 236, 0, 0, 0, 0, 0, 0, 0, 29, 13, 278
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\admin_views\posts\edit_post_screen.dart", "Dart", 0, 0, 157, 0, 0, 0, 0, 0, 0, 0, 11, 8, 176
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\admin_views\posts\post_dashboard.dart", "Dart", 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 5, 101
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\admin_views\students\add_student_screen.dart", "Dart", 0, 0, 422, 0, 0, 0, 0, 0, 0, 0, 1, 17, 440
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\admin_views\students\student_dashboard.dart", "Dart", 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 5, 100
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\admin_views\students\update_student_screen.dart", "Dart", 0, 0, 279, 0, 0, 0, 0, 0, 0, 0, 4, 9, 292
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\admin_views\subjects\add_subject_screen.dart", "Dart", 0, 0, 328, 0, 0, 0, 0, 0, 0, 0, 65, 20, 413
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\admin_views\subjects\subject_dashboard.dart", "Dart", 0, 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 4, 132
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\admin_views\subjects\update_subject_screen.dart", "Dart", 0, 0, 228, 0, 0, 0, 0, 0, 0, 0, 12, 15, 255
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\admin_views\teachers\add_teacher_screen.dart", "Dart", 0, 0, 386, 0, 0, 0, 0, 0, 0, 0, 2, 20, 408
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\admin_views\teachers\teacher_dashboard.dart", "Dart", 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 5, 103
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\admin_views\teachers\update_teacher_screen.dart", "Dart", 0, 0, 307, 0, 0, 0, 0, 0, 0, 0, 2, 9, 318
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\admin_views\test_screen.dart", "Dart", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 1, 8, 79
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\admin_views\widgets\classe_card.dart", "Dart", 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 3, 100
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\admin_views\widgets\department_card.dart", "Dart", 0, 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 3, 106
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\admin_views\widgets\new_post_container.dart", "Dart", 0, 0, 283, 0, 0, 0, 0, 0, 0, 0, 6, 19, 308
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\admin_views\widgets\student_card.dart", "Dart", 0, 0, 123, 0, 0, 0, 0, 0, 0, 0, 2, 3, 128
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\admin_views\widgets\subject_card.dart", "Dart", 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 4, 110
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\admin_views\widgets\teacher_card.dart", "Dart", 0, 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 3, 126
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\admin_views\widgets\user_card.dart", "Dart", 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 8, 3, 127
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\coming_soon_screen.dart", "Dart", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 2, 3, 55
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\current_profile_screen.dart", "Dart", 0, 0, 152, 0, 0, 0, 0, 0, 0, 0, 9, 6, 167
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\edit_profile_screen.dart", "Dart", 0, 0, 190, 0, 0, 0, 0, 0, 0, 0, 0, 8, 198
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\for_students\classroom_student_screen.dart", "Dart", 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 2, 8, 118
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\for_teachers\add_teacher_subject_screen.dart", "Dart", 0, 0, 164, 0, 0, 0, 0, 0, 0, 0, 5, 15, 184
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\for_teachers\add_teacher_subjects_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 120, 11, 131
"c:\Users\Lenovo\Documents\Dev\PFA\enetcom_app\lib\views\for_teachers\classroom_teacher_screen.dart", "Dart", 0, 0, 132, 0, 0, 0, 0, 0, 0, 0, 48, 5, 185
